PostalCode,PostalCode Lat,PostalCode Long,Borough,Venue,Venue Lat,Venue Long,Venue Category
M4M,43.6595255,-79.340923,East Toronto,braised,43.660451867292366,-79.34334606916272,American Restaurant
M4M,43.6595255,-79.340923,East Toronto,Reliable Halibut and Chips,43.66092959894909,-79.34086306317265,Seafood Restaurant
M4M,43.6595255,-79.340923,East Toronto,District 28,43.65517388160507,-79.34059760137761,Coworking Space
M4M,43.6595255,-79.340923,East Toronto,Brooklyn Tavern,43.66193697467491,-79.33593786927155,American Restaurant
M4M,43.6595255,-79.340923,East Toronto,Tiny Record Shop,43.659676318766536,-79.34659983505101,Music Store
M4M,43.6595255,-79.340923,East Toronto,Jimmie Simpson Park,43.65922968838468,-79.3450629597167,Park
M4M,43.6595255,-79.340923,East Toronto,Delica Kitchen,43.66080581509536,-79.34150197940215,Café
M4M,43.6595255,-79.340923,East Toronto,The Roy Public House,43.660451849464096,-79.34299382973943,Bar
M4M,43.6595255,-79.340923,East Toronto,Spirit Loft Yoga,43.66354815944136,-79.3413327874046,Yoga Studio
M4M,43.6595255,-79.340923,East Toronto,The Thirsty Duck,43.66113846977925,-79.34010994796954,Gastropub
M4M,43.6595255,-79.340923,East Toronto,7-Eleven,43.660897,-79.340159,Convenience Store
M4M,43.6595255,-79.340923,East Toronto,TD Canada Trust,43.660659451666845,-79.34277481866047,Bank
M4M,43.6595255,-79.340923,East Toronto,Good Neighbour,43.6610004575794,-79.34029809683763,Clothing Store
M4M,43.6595255,-79.340923,East Toronto,Barrio Cerveceria,43.66043013260822,-79.34350897486634,Latin American Restaurant
M4M,43.6595255,-79.340923,East Toronto,Dwell Gym,43.6634116374049,-79.3411044597478,Gym / Fitness Center
M4M,43.6595255,-79.340923,East Toronto,Saulter Street Brewery,43.6584115679406,-79.34639217979787,Brewery
M4M,43.6595255,-79.340923,East Toronto,Gale's Snack Bar,43.65837869775524,-79.33899625477554,Diner
M4M,43.6595255,-79.340923,East Toronto,Jimmie Simpson Ice Rink,43.66098958797958,-79.34491375836822,Skate Park
M4M,43.6595255,-79.340923,East Toronto,arts market,43.659593,-79.347009,Arts & Crafts Store
M4N,43.7280205,-79.3887901,Central Toronto,Lawrence Park Ravine,43.72696303913755,-79.39438246708775,Park
M4N,43.7280205,-79.3887901,Central Toronto,Lake,43.72790992681161,-79.38685748822415,Lake
M4N,43.7280205,-79.3887901,Central Toronto,Dim Sum Deluxe,43.72695269460939,-79.39426004519044,Dim Sum Restaurant
M4N,43.7280205,-79.3887901,Central Toronto,Zodiac Swim School,43.72853205765438,-79.3828602612317,Swim School
M4N,43.7280205,-79.3887901,Central Toronto,TTC Bus #162 - Lawrence-Donway,43.72802605799448,-79.38280527753858,Bus Line
M4P,43.7127511,-79.3901975,Central Toronto,Sherwood Park,43.71655100307589,-79.38777567141624,Park
M4P,43.7127511,-79.3901975,Central Toronto,Summerhill Market North,43.71549914910689,-79.39288125988016,Food & Drink Shop
M4P,43.7127511,-79.3901975,Central Toronto,Homeway Restaurant & Brunch,43.71264120397444,-79.39155655199944,Breakfast Spot
M4P,43.7127511,-79.3901975,Central Toronto,Best Western Roehampton Hotel & Suites,43.7088783,-79.3908798,Hotel
M4P,43.7127511,-79.3901975,Central Toronto,Subway,43.708377580939676,-79.390473242753,Sandwich Place
M4P,43.7127511,-79.3901975,Central Toronto,Gym,43.71312601210131,-79.39353747528043,Gym
M4P,43.7127511,-79.3901975,Central Toronto,Hero Certified Burgers,43.708632833728444,-79.39029641345645,Burger Joint
M4P,43.7127511,-79.3901975,Central Toronto,Imbiss Restaurant,43.70844884848459,-79.39027380979057,Restaurant
M4R,43.7153834,-79.40567840000001,Central Toronto,Uncle Betty's Diner,43.7144524368588,-79.40009057656115,Diner
M4R,43.7153834,-79.40567840000001,Central Toronto,Barreworks,43.71407030751952,-79.40010911522093,Yoga Studio
M4R,43.7153834,-79.40567840000001,Central Toronto,lululemon,43.71572,-79.39996,Sporting Goods Shop
M4R,43.7153834,-79.40567840000001,Central Toronto,Civello Salon,43.71511093497453,-79.40030409940266,Salon / Barbershop
M4R,43.7153834,-79.40567840000001,Central Toronto,Starbucks,43.71545573067855,-79.40030317600592,Coffee Shop
M4R,43.7153834,-79.40567840000001,Central Toronto,Tio's Urban Mexican,43.71463,-79.4,Mexican Restaurant
M4R,43.7153834,-79.40567840000001,Central Toronto,Nailsense,43.71746731916717,-79.40065341489495,Spa
M4R,43.7153834,-79.40567840000001,Central Toronto,C'est Bon,43.71678474928588,-79.40040634837081,Chinese Restaurant
M4R,43.7153834,-79.40567840000001,Central Toronto,A&W,43.715124,-79.400017,Fast Food Restaurant
M4R,43.7153834,-79.40567840000001,Central Toronto,Sporting Life,43.71627717160474,-79.40024796918705,Sporting Goods Shop
M4R,43.7153834,-79.40567840000001,Central Toronto,Dufflet Pastries,43.71572948229811,-79.40028336157728,Dessert Shop
M4R,43.7153834,-79.40567840000001,Central Toronto,Tim Hortons,43.71489400011398,-79.39977586269379,Coffee Shop
